geometry,job_onsite,job_hybrid,job_uncertain,job_total,job_weighted,x,y,housing_density_2025,absolute_growth,vehicle_count_250m,hub_distance,is_covered_by_hub,pt_line_distance,bike_combined_distance,bike_direct_distance,bike_regional_distance,has_multimodal_access,shared_mobility_distance
"POLYGON ((114141.30462649107 459692.1657, 114213.47341013976 459817.1657, 114357.81097743717 459817.1657, 114429.97976108587 459692.1657, 114357.81097743717 459567.1657, 114213.47341013976 459567.1657, 114141.30462649107 459692.1657))",1,2,1,4,2.5,114285.64219378846,459692.16570000007,,,1,5677.101157163813,False,61.398137025869914,3178.4914638334203,8193.740249832257,3178.4914638334203,False,5193.206637425482
"POLYGON ((114574.31732838329 459692.1657, 114646.48611203198 459817.1657, 114790.82367932939 459817.1657, 114862.99246297809 459692.1657, 114790.82367932939 459567.1657, 114646.48611203198 459567.1657, 114574.31732838329 459692.1657))",1,1,2,4,2.2,114718.6548956807,459692.16570000007,,,1,5931.811706872141,False,116.95620817161289,2769.714008326815,7834.622000891175,2769.714008326815,False,5459.955630398838
"POLYGON ((114790.8236793294 471067.1657, 114862.9924629781 471192.1657, 115007.33003027551 471192.1657, 115079.4988139242 471067.1657, 115007.33003027551 470942.1657, 114862.9924629781 470942.1657, 114790.8236793294 471067.1657))",1,1,1,3,1.9000000000000001,114935.16124662681,471067.16570000007,,,1,5072.408578186208,False,1118.8546437846514,2125.1816187133136,16857.96527631238,2125.1816187133136,False,2447.1885665180507
"POLYGON ((114790.8236793294 448317.1657, 114862.9924629781 448442.1657, 115007.33003027551 448442.1657, 115079.4988139242 448317.1657, 115007.33003027551 448192.1657, 114862.9924629781 448192.1657, 114790.8236793294 448317.1657))",2,5,1,8,5.3,114935.16124662681,448317.16569999995,,,1,4286.013145302997,False,1058.018053673659,824.1058828087706,9284.511703876045,824.1058828087706,False,3586.5637742729223
"POLYGON ((114790.8236793294 447567.1657, 114862.9924629781 447692.1657, 115007.33003027551 447692.1657, 115079.4988139242 447567.1657, 115007.33003027551 447442.1657, 114862.9924629781 447442.1657, 114790.8236793294 447567.1657))",1,1,1,3,1.9000000000000001,114935.16124662681,447567.16570000007,,,1,4218.270988415767,False,325.59405368811156,91.71337380608976,9854.589607356033,91.71337380608976,False,2974.8782791450535
"POLYGON ((115007.33003027551 471192.1657, 115079.4988139242 471317.1657, 115223.83638122161 471317.1657, 115296.00516487031 471192.1657, 115223.83638122161 471067.1657, 115079.4988139242 471067.1657, 115007.33003027551 471192.1657))",3,1,1,5,3.9,115151.66759757289,471192.1657,,,1,4931.25819570208,False,932.7435326113593,1883.2358733058463,16872.905184617008,1883.2358733058463,False,2198.608511478998
"POLYGON ((115007.33003027551 459942.1657, 115079.4988139242 460067.1657, 115223.83638122161 460067.1657, 115296.00516487031 459942.1657, 115223.83638122161 459817.1657, 115079.4988139242 459817.1657, 115007.33003027551 459942.1657))",4,1,1,6,4.8999999999999995,115151.66759757289,459942.1657,,,1,6397.357700871445,False,56.067864862099064,2483.2509851365744,7635.495940800108,2483.2509851365744,False,5931.823969415948
"POLYGON ((115007.33003027551 447692.1657, 115079.4988139242 447817.1657, 115223.83638122161 447817.1657, 115296.00516487031 447692.1657, 115223.83638122161 447567.1657, 115079.4988139242 447567.1657, 115007.33003027551 447692.1657))",2,1,5,8,4.1,115151.66759757289,447692.1657,,,1,4436.793578294909,False,408.49233288464694,183.83794212685635,9621.469976670633,183.83794212685635,False,3210.0161278426417
"POLYGON ((115007.33003027551 447442.1657, 115079.4988139242 447567.1657, 115223.83638122161 447567.1657, 115296.00516487031 447442.1657, 115223.83638122161 447317.1657, 115079.4988139242 447317.1657, 115007.33003027551 447442.1657))",3,1,3,7,4.5,115151.66759757289,447442.16570000007,,,1,4436.282723902853,False,159.00671691961153,65.9841911912541,9818.203031205532,65.9841911912541,True,3025.5342058239316
"POLYGON ((115223.83638122161 460567.1657, 115296.00516487031 460692.1657, 115440.34273216772 460692.1657, 115512.51151581641 460567.1657, 115440.34273216772 460442.1657, 115296.00516487031 460442.1657, 115223.83638122161 460567.1657))",1,1,1,3,1.9000000000000001,115368.173948519,460567.16570000007,,,1,7021.349511771734,False,344.22107241837165,2684.226046519169,7877.131073210537,2684.226046519169,False,6548.216954700447
