geometry
"POLYGON ((120506.11834981298 440433.69011467765, 120381.11834981298 440650.19646562374, 120131.11834981298 440650.19646562374, 120006.11834981298 440433.69011467765, 120131.11834981298 440217.18376373156, 120381.11834981298 440217.18376373156, 120506.11834981298 440433.69011467765))"
"POLYGON ((120939.1310517052 440433.69011467765, 120814.1310517052 440650.19646562374, 120564.1310517052 440650.19646562374, 120439.1310517052 440433.69011467765, 120564.1310517052 440217.18376373156, 120814.1310517052 440217.18376373156, 120939.1310517052 440433.69011467765))"
"POLYGON ((121372.14375359741 440433.69011467765, 121247.14375359741 440650.19646562374, 120997.14375359741 440650.19646562374, 120872.14375359741 440433.69011467765, 120997.14375359741 440217.18376373156, 121247.14375359741 440217.18376373156, 121372.14375359741 440433.69011467765))"
"POLYGON ((121805.15645548963 440433.69011467765, 121680.15645548963 440650.19646562374, 121430.15645548963 440650.19646562374, 121305.15645548963 440433.69011467765, 121430.15645548963 440217.18376373156, 121680.15645548963 440217.18376373156, 121805.15645548963 440433.69011467765))"
"POLYGON ((122238.16915738185 440433.69011467765, 122113.16915738185 440650.19646562374, 121863.16915738185 440650.19646562374, 121738.16915738185 440433.69011467765, 121863.16915738185 440217.18376373156, 122113.16915738185 440217.18376373156, 122238.16915738185 440433.69011467765))"
"POLYGON ((122671.18185927407 440433.69011467765, 122546.18185927407 440650.19646562374, 122296.18185927407 440650.19646562374, 122171.18185927407 440433.69011467765, 122296.18185927407 440217.18376373156, 122546.18185927407 440217.18376373156, 122671.18185927407 440433.69011467765))"
"POLYGON ((123104.1945611663 440433.69011467765, 122979.1945611663 440650.19646562374, 122729.1945611663 440650.19646562374, 122604.1945611663 440433.69011467765, 122729.1945611663 440217.18376373156, 122979.1945611663 440217.18376373156, 123104.1945611663 440433.69011467765))"
"POLYGON ((123537.20726305852 440433.69011467765, 123412.20726305852 440650.19646562374, 123162.20726305852 440650.19646562374, 123037.20726305852 440433.69011467765, 123162.20726305852 440217.18376373156, 123412.20726305852 440217.18376373156, 123537.20726305852 440433.69011467765))"
"POLYGON ((123970.21996495074 440433.69011467765, 123845.21996495074 440650.19646562374, 123595.21996495074 440650.19646562374, 123470.21996495074 440433.69011467765, 123595.21996495074 440217.18376373156, 123845.21996495074 440217.18376373156, 123970.21996495074 440433.69011467765))"
"POLYGON ((168570.52825984932 440433.69011467765, 168445.52825984932 440650.19646562374, 168195.52825984932 440650.19646562374, 168070.52825984932 440433.69011467765, 168195.52825984932 440217.18376373156, 168445.52825984932 440217.18376373156, 168570.52825984932 440433.69011467765))"
"POLYGON ((169003.54096174156 440433.69011467765, 168878.54096174156 440650.19646562374, 168628.54096174156 440650.19646562374, 168503.54096174156 440433.69011467765, 168628.54096174156 440217.18376373156, 168878.54096174156 440217.18376373156, 169003.54096174156 440433.69011467765))"
"POLYGON ((169436.55366363376 440433.69011467765, 169311.55366363376 440650.19646562374, 169061.55366363376 440650.19646562374, 168936.55366363376 440433.69011467765, 169061.55366363376 440217.18376373156, 169311.55366363376 440217.18376373156, 169436.55366363376 440433.69011467765))"
